t;sucrose_input_rate;soil_temperature
1125;1.42E-09;20
1126;1.42E-09;20
1127;1.42E-09;20
1128;1.42E-09;20
1129;1.42E-09;20
1130;1.42E-09;20
1131;1.42E-09;20
1132;1.42E-09;20
1133;1.42E-09;20
1134;1.42E-09;20
1135;1.42E-09;20
1136;1.42E-09;20
1137;1.42E-09;20
1138;1.42E-09;20
1139;1.43E-09;20
1140;1.43E-09;20
1141;1.43E-09;20
1142;1.43E-09;20
1143;1.43E-09;20
1144;1.43E-09;20
1145;1.43E-09;20
1146;1.43E-09;20
1147;1.43E-09;20
1148;1.43E-09;20
1149;1.43E-09;20
1150;1.43E-09;20
1151;1.43E-09;20
1152;1.43E-09;20
1153;1.43E-09;20
1154;1.43E-09;20
1155;1.43E-09;20
1156;1.43E-09;20
1157;1.43E-09;20
1158;1.43E-09;20
1159;1.43E-09;20
1160;1.43E-09;20
1161;1.43E-09;20
1162;1.43E-09;20
1163;1.43E-09;20
1164;1.43E-09;20
1165;1.43E-09;20
1166;1.43E-09;20
1167;1.43E-09;20
1168;1.43E-09;20
1169;1.43E-09;20
1170;1.43E-09;20
1171;1.43E-09;20
1172;1.43E-09;20
1173;1.43E-09;20
1174;1.43E-09;20
1175;1.43E-09;20
1176;1.43E-09;20
1177;1.43E-09;20
1178;1.43E-09;20
1179;1.43E-09;20
1180;1.43E-09;20
1181;1.43E-09;20
1182;1.43E-09;20
1183;1.43E-09;20
1184;1.43E-09;20
1185;1.43E-09;20
1186;1.43E-09;20
1187;1.43E-09;20
1188;1.43E-09;20
1189;1.43E-09;20
1190;1.43E-09;20
1191;1.43E-09;20
1192;1.43E-09;20
1193;1.43E-09;20
1194;1.43E-09;20
1195;1.43E-09;20
1196;1.43E-09;20
1197;1.43E-09;20
1198;1.43E-09;20
1199;1.43E-09;20
1200;1.42E-09;20
1201;1.42E-09;20
1202;1.42E-09;20
1203;1.42E-09;20
1204;1.42E-09;20
1205;1.42E-09;20
1206;1.42E-09;20
1207;1.42E-09;20
1208;1.42E-09;20
1209;1.42E-09;20
1210;1.42E-09;20
1211;1.42E-09;20
1212;1.42E-09;20
1213;1.42E-09;20
1214;1.42E-09;20
1215;1.42E-09;20
1216;1.42E-09;20
1217;1.42E-09;20
1218;1.42E-09;20
1219;1.42E-09;20
1220;1.42E-09;20
1221;1.42E-09;20
1222;1.42E-09;20
1223;1.42E-09;20
1224;1.42E-09;20
1225;1.42E-09;20
1226;1.42E-09;20
1227;1.42E-09;20
1228;1.42E-09;20
1229;1.42E-09;20
1230;1.42E-09;20
1231;1.42E-09;20
1232;1.41E-09;20
1233;1.41E-09;20
1234;1.41E-09;20
1235;1.41E-09;20
1236;1.41E-09;20
1237;1.41E-09;20
1238;1.41E-09;20
1239;1.41E-09;20
1240;1.41E-09;20
1241;1.40E-09;20
